ビル,風呂,0.4
お酒,工夫,1
普通,近い,0.4
周辺,換気扇,0.4
京都,玄関,1
TDL,満足,0.4
よい,使い勝手,4
変更,隣,1.2
最高,高い,1.4
ビックリ,フロント,1.4
女性,従業員,1.4
皆さん,館内,1
強い,目的,0.4
ない,個別,1
なかった,不安,0.4
地下鉄,広い,0.4
LAN,心地よい,0.4
人達,最初,0.4
調整,適温,1
大浴場,素晴らしい,1.4
ウエルカム,ビール,1
金沢,非常,1
眺め,高級,0.4
補充,遅い,1
満足,照明,0.4
イメージ,十分,0.4
閉口,風呂,1
悪い,意見,1
大変,好感,0.4
景色,機会,1
最後,最後,1
連,静か,1.4
景色,館内,0.4
フロント,事項,0.4
期待,駅,1.4
椅子,間,0.4
料金,食事,4.8
ロビー,便利,1
カード,女性,1.2
エリア,金額,1
値段,味,2
使い勝手,種類,1
ほしい,トイレ,0.8
クラブ,音,0.4
ラッキー,広い,0.4
安心,無線LAN,0.4
到着,必要,0.4
仕事,観光,1.4
お客,種類,0.4
よい,露天,0.4
浴衣,無料,1
係り,様子,2
文句,静か,0.4
和食,回答,1
エリア,投稿,1
お気に入り,清潔感,1
口コミ,無料,0.4
チェックイン,作務衣,0.4
大浴場,貸し切り,0.4
ない,高台,1
露天風呂,高台,0.8
スタッフ,清掃,0.4
奥,畳,1
名前,自宅,1
旅行者,素敵,0.4
フロア,下,0.4
少ない,笑顔,0.4
ひつ,隣,1.7999999999999998
ルーム,素早い,0.8
旅行,本,1
他,話し声,0.4
対応,道,2
おかず,富士山,0.8
チェーン,周辺,0.4
子供,枕,2.2
夕飯,満足,1
入浴,風呂,2
最後,空気清浄機,1
お気に入り,応対,1
厳しい,楽,0.4
タイプ,便利,0.4
ご飯,形式,1.4
従業員,石鹸,0.4
シーツ,付近,2
タバコ,横,1
スムーズ,旅行者,0.4
便利,周辺,0.4
お勧め,浅草,0.4
名前,東京,1
いい,露天,0.4
出張,立地,2.5999999999999996
ポイント,安い,1
朝食会,無理,0.4
出張,早い,0.4
サービス,定食,0.4
宿,駅,1.7999999999999998
メニュー,楽しい,0.4
コーヒー,用意,1
団体,非常,1
宿泊施設,床,1
ラッキー,安い,2
よい,ベッド,14.199999999999998
いい,食事,6.400000000000001
ご飯,感激,0.4
o,弁当,1
一泊,子供,0.8
古い,海,0.4
有料,駅,0.4
具合,問い合わせ,1
2日,サイズ,0.4
テーブル,間,0.4
手,接客,0.4
サービス,評価,5.4
外,面倒,1
おかげ,喫煙,1
ボリューム,意見,0.4
予約,可能,3
和室,宿泊客,0.4
用意,雰囲気,0.4
いくら,清潔,1
出発,朝食,6.4
ティッシュ,周り,0.4
天気,窓,1
把握,要望,1
ドライヤー,寒い,0.8
タワー,魅力,0.4
インターネット,サービス,1.4
エアコン,対策,1
感動,本館,0.4
アナログ,テレビ,3.4000000000000004
つくり,階,1
美味しい,評価,1
コーナー,ポイント,0.4
宿泊施設,廊下,2
話,金沢,0.4
ない,アクセス,2.1999999999999997
うれしい,防音,0.4
禁煙,駐車,0.4
お酒,食べ放題,0.4
ドリンク,平均,1
男性,親切,1
予約,横,0.4
人,会社,1
喫煙,空気清浄機,1
スムーズ,有り難い,0.4
改善,気持ちよい,0.4
レストラン,廊下,0.4
早い,駐車,0.4
料理,追加,0.4
総合,食事,1
エレベーター,設置,2
アメニティ,常備,1
愛想,理解,1
ごはん,大人,0.4
快適,方々,1.4
フロント,理由,2.8000000000000003
低い,納得,0.4
コーヒー,選択,1
中心,宿,0.8
笑顔,１つ,0.4
不満,承知,0.4
アメニティー,ツイン,0.4
たま,駅,0.4
ポイント,朝食,1.8
全国,宿,2
遊び,駐車場,1
料理,質,1
事項,些細なこと,0.4
徒歩,金額,1
位置,美味しい,0.4
札,移動,0.4
子供,洋食,1
づらい,バイキング,0.4
方々,気持ち,2
アメニティ,モデム,0.4
割り,料金,1.4
バイキング,会席,1
写真,自体,1
個室,２つ,1
ただ,炭酸泉,1
料理,贅沢,0.8
エアコン,滞在,0.4
雰囲気,高台,1
新しい,設置,0.4
メール,駅,0.4
嫌,美味しい,0.4
関係,非常,1
ありがたい,朝食,7.2
タオル,駐車場,0.4
個室,美味しい,0.4
非常,騒音,0.4
リンス,寒い,0.4
海外,色々,0.4
考慮,量,1.4
便利,日本橋,1
便利,好き,0.4
大浴場,露天,0.4
グッズ,ビックリ,0.4
お願い,味,0.4
アクセス,露天風呂,0.8
ビジネス,ルームサービス,1
札幌,迷惑,0.4
びっくり,清潔,0.4
天気,是非,0.4
上り,食事,0.4
地下鉄,快適,1
うれしい,プラン,2
意味,自分,1
朝食,洋食,2.8
下,人,1
カウンター,必要,0.4
価格,満足,20.399999999999995
充分,領収書,0.4
カーテン,指摘,1
玄関,用意,0.4
ダブル,案内,1
頭,風呂,0.4
コンビニ,ビジネス,0.4
リラックス,入り口,0.4
チェックイン,場所,1.9999999999999998
イベント,目,0.4
地下鉄,香り,0.4
地下鉄,足,0.4
サービス,市内,1
感,設備,0.4
コンパクト,心地よい,0.4
悪い,短い,0.4
気遣い,用意,0.4
意味,食事,1
不安,感じ,1.7999999999999998
デザート,海,0.4
是非,気,0.4
スペース,バイキング,0.8
便利,魅力的,1
種類,風呂,3.8000000000000007
いい,十分,0.4
きれい,別館,1
希望,連絡,0.4
自分,調子,1
お願い,裏,0.4
徒歩,残念,0.4
アメニティ,高層,0.4
ほしい,納得,1
パン,パン,4.800000000000001
喜び,家族,2
ない,閑静,0.4
埃,食事,0.4
よい,記載,0.4
おいしい,食事,10.999999999999998
おかげさま,露天風呂,0.4
よい,元気,2.4
クリーニング,最後,1
ウォシュレット,備品,0.4
慌ただしい,綺麗,0.4
体,心地よい,1
感動,種類,1
事,説明,1
種類,設備,0.4
新しい,施設,3
プラン,楽天,1
全員,豊富,0.4
期待,自分,1
女性,自体,0.8
プレゼント,湯船,0.4
前回,理由,1
豊富,飲み物,0.4
ナイト,ロープウェイ,2
口,機会,0.4
大変,有名,1.4
品数,生卵,0.8
気,確認,0.4
充実,風呂,6.200000000000001
マット,疲れ,1
あと,掃除,0.4
抜群,食事,1.4
すごい,従業員,2
お願い,衣類,0.4
ウェア,ナイト,3.8000000000000007
富士山,湯,0.4
ルームサービス,宮崎,0.8
広い,景色,1.4
清潔,電車,0.4
丁寧,量,1.4
